O*NET-SOC Code,Title,working_with_computers_raw_0_100,working_with_computers_norm,e_mail_raw_0_100,e_mail_norm,using_hands_raw_0_100,using_hands_norm,kneeling_raw_0_100,kneeling_norm,originality_raw_0_100,originality_norm,thinking_creatively_raw_0_100,thinking_creatively_norm,digit,physical,iprisk,soc_major_group,domain
19-1022.00,Microbiologists,84.00000000000001,0.8426395939086294,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,53.0,0.58,69.0,0.6629213483146067,0.7546531302875494,0.5833333333334321,0.6214606741573033,19,S
19-1023.00,Zoologists and Wildlife Biologists,86.25,0.865482233502538,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,56.25,0.6233333333333333,72.0,0.6966292134831461,0.7660744500845036,0.416666666666864,0.6599812734082398,19,S
19-1029.01,Bioinformatics Scientists,98.25,0.9873096446700507,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,68.75,0.79,92.5,0.9269662921348315,0.82698815566826,0.583333333333728,0.8584831460674158,19,S
19-1029.02,Molecular and Cellular Biologists,84.00000000000001,0.8426395939086294,20.002000000000002,1.0,20.0,0.33333333333372805,20.0,0.5,68.75,0.79,81.74999999999999,0.8061797752808987,0.9213197969543148,0.416666666666864,0.7980898876404494,19,S
19-1029.03,Geneticists,84.5,0.847715736040609,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,68.75,0.79,78.0,0.7640449438202247,0.7571912013535391,0.416666666666864,0.7770224719101124,19,S
19-1029.04,Biologists,91.25000000000001,0.916243654822335,20.0,0.6666666666664693,20.000000000000004,0.3333333333343202,20.0,0.5,53.0,0.58,76.0,0.7415730337078652,0.7914551607444023,0.4166666666671601,0.6607865168539326,19,S
19-1031.00,Conservation Scientists,85.75,0.8604060913705582,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002,0.749999999999778,56.25,0.6233333333333333,62.0,0.5842696629213483,0.7635363790185138,0.541666666666753,0.6038014981273407,19,S
19-1031.02,Range Managers,67.75,0.6776649746192892,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,56.25,0.6233333333333333,76.25,0.7443820224719101,0.6721658206428793,0.25,0.6838576779026218,19,S
19-1031.03,Park Naturalists,85.00000000000001,0.8527918781725888,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,83.25,0.8230337078651685,0.759729272419529,0.416666666666864,0.7015168539325842,19,S
19-1032.00,Foresters,73.75,0.7385786802030456,20.0,0.6666666666664693,19.997999999999998,0.0,19.998,0.25000000000022204,56.25,0.6233333333333333,56.99999999999999,0.5280898876404494,0.7026226734347575,0.12500000000011102,0.5757116104868913,19,S
19-1041.00,Epidemiologists,89.5,0.898477157360406,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,72.0,0.8333333333333334,77.75000000000001,0.7612359550561799,0.7825719120134377,0.416666666666864,0.7972846441947566,19,S
19-1042.00,"Medical Scientists, Except Epidemiologists",81.25,0.814720812182741,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,56.25,0.6233333333333333,83.0,0.8202247191011236,0.7406937394246051,0.416666666666864,0.7217790262172284,19,S
19-2011.00,Astronomers,97.75,0.982233502538071,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,68.75,0.79,79.25,0.7780898876404494,0.8244500846022702,0.416666666666864,0.7840449438202247,19,S
19-2012.00,Physicists,89.25,0.8959390862944161,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,78.0,0.9133333333333333,78.49999999999999,0.7696629213483145,0.7813028764804427,0.416666666666864,0.841498127340824,19,S
19-2021.00,Atmospheric and Space Scientists,94.75,0.9517766497461928,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,71.0,0.6853932584269663,0.8092216582063311,0.416666666666864,0.6126966292134832,19,S
19-2031.00,Chemists,70.5,0.7055837563451776,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,58.5,0.5449438202247191,0.6861252115058234,0.416666666666864,0.5424719101123596,19,S
19-2032.00,Materials Scientists,79.75000000000001,0.799492385786802,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,56.25,0.6233333333333333,76.25,0.7443820224719101,0.7330795262266356,0.416666666666864,0.6838576779026218,19,S
19-2041.00,"Environmental Scientists and Specialists, Including Health",85.5,0.8578680203045684,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,50.5,0.4550561797752809,0.762267343485519,0.416666666666864,0.5175280898876404,19,S
19-2041.01,Climate Change Policy Analysts,80.5,0.8071065989847714,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,53.0,0.58,66.25,0.6320224719101124,0.7368866328256204,0.5833333333334321,0.6060112359550562,19,S
19-2041.02,Environmental Restoration Planners,86.25,0.865482233502538,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,72.5,0.702247191011236,0.7660744500845036,0.416666666666864,0.641123595505618,19,S
19-2041.03,Industrial Ecologists,88.75,0.8908629441624364,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,59.5,0.6666666666666666,71.75,0.6938202247191011,0.7787648054144529,0.416666666666864,0.6802434456928839,19,S
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",86.00000000000001,0.8629441624365483,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,53.0,0.58,81.25,0.800561797752809,0.7648054145515089,0.25,0.6902808988764044,19,S
19-2043.00,Hydrologists,90.99999999999999,0.9137055837563449,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,56.25,0.6233333333333333,73.75,0.7162921348314607,0.7901861252114071,0.5833333333334321,0.6698127340823969,19,S
19-2099.01,Remote Sensing Scientists and Technologists,95.0,0.9543147208121826,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,59.5,0.6666666666666666,78.0,0.7640449438202247,0.8104906937393259,0.416666666666864,0.7153558052434457,19,S
19-3011.00,Economists,93.75,0.9416243654822334,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,53.0,0.58,78.0,0.7640449438202247,0.8041455160743514,0.583333333333728,0.6720224719101123,19,S
19-3011.01,Environmental Economists,90.75,0.9111675126903552,20.0,0.6666666666664693,19.998,5.921189464667277e-13,20.0,0.5,56.25,0.6233333333333333,72.25,0.699438202247191,0.7889170896784123,0.25000000000029604,0.6613857677902621,19,S
19-3022.00,Survey Researchers,94.0,0.9441624365482232,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,74.0,0.7191011235955056,0.8054145516073463,0.416666666666864,0.6495505617977528,19,S
19-3032.00,Industrial-Organizational Psychologists,88.99999999999999,0.8934010152284261,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,72.0,0.8333333333333334,66.0,0.6292134831460674,0.7800338409474477,0.416666666666864,0.7312734082397003,19,S
19-3033.00,Clinical and Counseling Psychologists,56.99999999999999,0.5685279187817257,20.0,0.6666666666664693,19.999999999999996,0.333333333333136,20.0,0.5,59.5,0.6666666666666666,72.0,0.6966292134831461,0.6175972927240976,0.416666666666568,0.6816479400749064,19,S
19-3034.00,School Psychologists,53.25,0.530456852791878,20.0,0.6666666666664693,20.000000000000004,0.3333333333343202,20.0,0.5,50.0,0.54,56.99999999999999,0.5280898876404494,0.5985617597291737,0.4166666666671601,0.5340449438202247,19,S
19-3039.02,Neuropsychologists,77.0,0.7715736040609136,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,53.0,0.58,58.25,0.5421348314606742,0.7191201353636915,0.583333333333728,0.561067415730337,19,S
19-3039.03,Clinical Neuropsychologists,79.25,0.7944162436548222,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,53.0,0.58,57.25,0.5308988764044944,0.7305414551606457,0.583333333333728,0.5554494382022472,19,S
19-3041.00,Sociologists,84.25,0.8451776649746192,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,83.74999999999999,0.8286516853932583,0.7559221658205443,0.416666666666864,0.7043258426966291,19,S
19-3051.00,Urban and Regional Planners,77.0,0.7715736040609136,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,56.25,0.6233333333333333,80.0,0.7865168539325843,0.7191201353636915,0.416666666666864,0.7049250936329587,19,S
19-3091.00,Anthropologists and Archeologists,83.74999999999999,0.8401015228426393,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,78.75000000000001,0.7724719101123597,0.7533840947545543,0.416666666666864,0.6762359550561798,19,S
19-3092.00,Geographers,88.75,0.8908629441624364,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,75.0,0.7303370786516854,0.7787648054144529,0.416666666666864,0.6551685393258426,19,S
19-3093.00,Historians,82.74999999999999,0.82994923857868,19.997999999999998,0.3333333333329386,20.0,0.33333333333372805,20.0,0.5,47.0,0.5,51.74999999999999,0.46910112359550554,0.5816412859558093,0.416666666666864,0.4845505617977528,19,S
19-3094.00,Political Scientists,80.0,0.8020304568527917,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,53.0,0.58,80.75000000000001,0.7949438202247192,0.7343485617596306,0.416666666666864,0.6874719101123596,19,S
19-3099.01,Transportation Planners,86.25,0.865482233502538,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,65.5,0.7466666666666667,76.25,0.7443820224719101,0.7660744500845036,0.416666666666864,0.7455243445692884,19,S
19-4012.00,Agricultural Technicians,56.25,0.5609137055837563,19.997999999999998,0.3333333333329386,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,46.75,0.41292134831460675,0.44712351945834744,0.416666666666864,0.4764606741573034,19,S
19-4012.01,Precision Agriculture Technicians,85.75,0.8604060913705582,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.002,0.749999999999778,50.0,0.54,66.0,0.6292134831460674,0.7635363790185138,0.708333333333617,0.5846067415730337,19,S
19-4013.00,Food Science Technicians,80.5,0.8071065989847714,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,31.25,0.29000000000000004,41.0,0.34831460674157305,0.7368866328256204,0.416666666666864,0.3191573033707865,19,S
19-4021.00,Biological Technicians,77.49999999999999,0.7766497461928932,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,47.0,0.5,54.75,0.5028089887640449,0.7216582064296813,0.416666666666864,0.5014044943820224,19,S
19-4031.00,Chemical Technicians,78.49999999999999,0.7868020304568525,20.0,0.6666666666664693,20.002,0.666666666666864,20.000000000000004,0.5000000000004441,50.0,0.54,43.75,0.3792134831460674,0.7267343485616609,0.5833333333336541,0.4596067415730337,19,S
19-4042.00,"Environmental Science and Protection Technicians, Including Health",71.25,0.7131979695431471,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002,0.749999999999778,47.0,0.5,45.25,0.3960674157303371,0.6899323181048083,0.541666666666753,0.44803370786516855,19,S
19-4051.02,Nuclear Monitoring Technicians,71.75,0.7182741116751268,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,50.0,0.54,52.0,0.47191011235955055,0.6924703891707981,0.25,0.5059550561797753,19,S
19-4061.00,Social Science Research Assistants,93.25000000000001,0.9365482233502538,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,50.0,0.54,55.50000000000001,0.5112359550561798,0.8016074450083616,0.583333333333728,0.5256179775280899,19,S
19-4071.00,Forest and Conservation Technicians,66.75,0.6675126903553299,20.0,0.6666666666664693,20.0,0.33333333333372805,19.999999999999996,0.4999999999995559,50.0,0.54,59.25,0.5533707865168539,0.6670896785108996,0.416666666666642,0.546685393258427,19,S
19-4092.00,Forensic Science Technicians,74.75,0.7487309644670049,20.0,0.6666666666664693,20.0,0.33333333333372805,19.998,0.25000000000022204,47.0,0.5,34.0,0.2696629213483146,0.7076988155667372,0.29166666666697505,0.3848314606741573,19,S
19-4099.01,Quality Control Analysts,74.0,0.7411167512690354,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002000000000002,0.750000000000222,47.0,0.5,38.5,0.3202247191011236,0.7038917089677523,0.541666666666975,0.4101123595505618,19,S
19-4099.03,Remote Sensing Technicians,91.25000000000001,0.916243654822335,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,56.25,0.6233333333333333,64.25,0.6095505617977528,0.7914551607444023,0.416666666666864,0.616441947565543,19,S
19-5011.00,Occupational Health and Safety Specialists,79.5,0.796954314720812,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,59.0,0.550561797752809,0.7318104906936407,0.416666666666864,0.5452808988764045,19,S
19-5012.00,Occupational Health and Safety Technicians,78.49999999999999,0.7868020304568525,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002,0.749999999999778,50.0,0.54,63.0,0.5955056179775281,0.7267343485616609,0.541666666666753,0.567752808988764,19,S
27-1011.00,Art Directors,89.25,0.8959390862944161,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,81.25,0.9566666666666667,98.75,0.9971910112359551,0.7813028764804427,0.416666666666864,0.9769288389513109,27,A
27-1012.00,Craft Artists,52.25,0.5203045685279187,20.002000000000002,1.0,20.002,0.666666666666864,20.0,0.5,78.0,0.9133333333333333,90.25000000000001,0.9016853932584271,0.7601522842639594,0.5833333333334321,0.9075093632958802,27,A
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",61.5,0.6142131979695431,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,84.5,1.0,95.0,0.9550561797752809,0.6404399323180062,0.416666666666864,0.9775280898876404,27,A
27-1014.00,Special Effects Artists and Animators,96.0,0.964467005076142,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,62.5,0.7066666666666667,95.5,0.9606741573033708,0.8155668358713057,0.416666666666864,0.8336704119850187,27,A
27-1021.00,Commercial and Industrial Designers,84.5,0.847715736040609,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,72.0,0.8333333333333334,74.25,0.7219101123595506,0.7571912013535391,0.416666666666864,0.7776217228464419,27,A
27-1022.00,Fashion Designers,73.25,0.7335025380710659,20.002000000000002,1.0,20.0,0.33333333333372805,20.002,0.749999999999778,81.25,0.9566666666666667,95.0,0.9550561797752809,0.866751269035533,0.541666666666753,0.9558614232209738,27,A
27-1023.00,Floral Designers,50.24999999999999,0.49999999999999983,20.002,0.9999999999994079,20.002,0.666666666666864,20.0,0.5,65.5,0.7466666666666667,71.75,0.6938202247191011,0.7499999999997039,0.5833333333334321,0.7202434456928839,27,A
27-1024.00,Graphic Designers,93.75,0.9416243654822334,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,75.0,0.8733333333333333,97.50000000000001,0.9831460674157305,0.8041455160743514,0.416666666666864,0.928239700374532,27,A
27-1025.00,Interior Designers,85.5,0.8578680203045684,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,78.0,0.9133333333333333,94.5,0.949438202247191,0.762267343485519,0.416666666666864,0.9313857677902622,27,A
27-1026.00,Merchandise Displayers and Window Trimmers,55.00000000000001,0.5482233502538071,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,19.997999999999998,0.24999999999977796,56.25,0.6233333333333333,82.0,0.8089887640449438,0.6074450084601382,0.45833333333361703,0.7161610486891385,27,A
27-1027.00,Set and Exhibit Designers,72.5,0.7258883248730963,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,19.997999999999998,0.24999999999977796,72.0,0.8333333333333334,95.24999999999999,0.9578651685393257,0.6962774957697828,0.45833333333361703,0.8955992509363295,27,A
27-2011.00,Actors,24.25,0.2360406091370558,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,68.75,0.79,85.25,0.8455056179775281,0.4513536379017626,0.416666666666864,0.817752808988764,27,A
