soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
49-1011.00,2024.0,2035.0,Slow,4.0,1,2929,D2,0.057635,0.1112053251141248,0.1193515281515232,0.008146203037398395,0.030858264075761598
49-1011.00,2024.0,2035.0,Slow,4.0,2,2918,D4,0.056513,0.1090404535121807,0.117028071665256,0.007987618153075304,0.030257535832628
49-1011.00,2024.0,2035.0,Slow,4.0,3,2925,D1,0.056277,0.1085850972750517,0.1165393588927435,0.007954261617691805,0.03013117944637175
49-1011.00,2024.0,2035.0,Slow,4.0,4,2915,D2,0.052655,0.1015965367204692,0.1090388603247758,0.0074423236043066054,0.028191930162387902
49-1011.00,2024.0,2035.0,Slow,4.0,5,2912,D5,0.058948,0.0204589196716651,0.0146060092213111,-0.005852910450354002,0.02217099538934445
49-1011.00,2024.0,2035.0,Slow,4.0,6,2930,D6,0.04069,0.078510361393142,0.0842615369217572,0.0057511755286151905,0.0217857684608786
49-1011.00,2024.0,2035.0,Slow,4.0,7,2932,D4,0.033335,0.0643190684944799,0.0690306791173944,0.004711610622914503,0.0178478395586972
49-1011.00,2024.0,2035.0,Slow,4.0,8,2914,D7,0.060013,0.0324399933729898,0.0282470469706887,-0.004192946402301098,0.015882976514655648
49-1011.00,2024.0,2035.0,Slow,4.0,9,15263,D7,0.058933,0.0318561999808443,0.0277387102648359,-0.004117489716008404,0.01559714486758205
49-1011.00,2024.0,2035.0,Slow,4.0,10,15262,D7,0.056987,0.030804290776108,0.0268227628300307,-0.003981527946077298,0.015082118584984651
49-1011.00,2024.0,2035.0,Slow,8.0,1,2929,D2,0.057635,0.1602431366722884,0.1647036992382923,0.004460562566003912,0.05353434961914616
49-1011.00,2024.0,2035.0,Slow,8.0,2,2918,D4,0.056513,0.1571236294397681,0.161497356728613,0.004373727288844914,0.0524921783643065
49-1011.00,2024.0,2035.0,Slow,8.0,3,2925,D1,0.056277,0.1564674764033378,0.1608229388745272,0.0043554624711893974,0.0522729694372636
49-1011.00,2024.0,2035.0,Slow,8.0,4,2915,D2,0.052655,0.1463971954798186,0.1504723394359726,0.004075143956153993,0.0489086697179863
49-1011.00,2024.0,2035.0,Slow,8.0,5,2930,D6,0.04069,0.1131307925946979,0.1162799257743751,0.003149133179677202,0.03779496288718755
49-1011.00,2024.0,2035.0,Slow,8.0,6,2932,D4,0.033335,0.0926816163957792,0.0952615218896239,0.0025799054938447086,0.030963260944811954
49-1011.00,2024.0,2035.0,Slow,8.0,7,2912,D5,0.058948,0.0048398567516628,0.0024876655741417,-0.0023521911775211,0.02823016721292915
49-1011.00,2024.0,2035.0,Slow,8.0,8,2914,D7,0.060013,0.0102389072025807,0.0080751252697157,-0.0021637819328650006,0.02596893736514215
49-1011.00,2024.0,2035.0,Slow,8.0,9,15263,D7,0.058933,0.0100546467960223,0.0079298045010274,-0.0021248422949949,0.0255015977494863
49-1011.00,2024.0,2035.0,Slow,8.0,10,15262,D7,0.056987,0.0097226368412422,0.0076679580048537,-0.002054678836388501,0.024659520997573153
49-1011.00,2024.0,2035.0,Baseline,0.5,1,2912,D5,0.058948,0.0527513413361412,0.0500800344605897,-0.0026713068755514977,0.00443398276970515
49-1011.00,2024.0,2035.0,Baseline,0.5,2,2929,D2,0.057635,0.0628888441455275,0.0651535755695459,0.0022647314240183958,0.0037592877847729515
